Fecha;Año;Mes;Cliente;País;Producto;Valor;MétodoDePago
1/1/2019;2019;ene;Juan Garcia;Chile;Producto B;350,00 €;Transferencia bancaria
1/1/2019;2019;ene;Maria Lopez;Colombia;Producto C;200,00 €;Tarjeta de débito
1/1/2019;2019;ene;Clara Oliva;México;Producto C;200,00 €;Transferencia bancaria
1/1/2019;2019;ene;Agustina Saez;Argentina;Producto C;200,00 €;Tarjeta de crédito
1/1/2019;2019;ene;Jose Muñoz;España;Producto D;600,00 €;Transferencia bancaria
1/1/2019;2019;ene;Diego Tejada;Colombia;Producto A;500,00 €;Tarjeta de débito
1/1/2019;2019;ene;Tobias Garcia;Argentina;Producto A;500,00 €;Transferencia bancaria
1/1/2019;2019;ene;Adrian Marin;México;Producto C;200,00 €;Transferencia bancaria
1/1/2019;2019;ene;Adriana Ortega;Colombia;Producto A;500,00 €;Transferencia bancaria
1/1/2019;2019;ene;Vicente Peña;España;Producto B;350,00 €;Tarjeta de crédito
1/1/2019;2019;ene;Veronica Laguna;Argentina;Producto B;350,00 €;Tarjeta de débito
1/1/2019;2019;ene;Nuria Pacheco;Colombia;Producto A;500,00 €;Tarjeta de débito
2/1/2019;2019;ene;Pilar Gil;México;Producto D;600,00 €;Tarjeta de crédito
2/1/2019;2019;ene;Sofia Abad;Colombia;Producto C;200,00 €;Tarjeta de crédito
2/1/2019;2019;ene;Juan Moreno;Argentina;Producto B;350,00 €;Tarjeta de débito
2/1/2019;2019;ene;Juan Saenz;España;Producto B;350,00 €;Tarjeta de crédito
2/1/2019;2019;ene;Maria Moya;México;Producto D;600,00 €;Tarjeta de débito
2/1/2019;2019;ene;Jose Gutierrez;Chile;Producto B;350,00 €;Transferencia bancaria
2/1/2019;2019;ene;Jose Suarez;España;Producto B;350,00 €;Transferencia bancaria
2/1/2019;2019;ene;Jose Carrasco;España;Producto B;350,00 €;Tarjeta de débito
2/1/2019;2019;ene;Ana Bautista;Colombia;Producto D;600,00 €;Transferencia bancaria
